time,PM25,Average Temperature,Rain Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Station,Division,Organization,Season
1/1/2017,231.5,20.5,0,6.9,1.2,16.3,73.17,12,Rangpur,PurpleAir,Winter
1/3/2017,181.9,21.4,0,9.2,1.7,14.4,69.74,13,Khulna,IQAir,Winter
1/4/2017,127.7,20.8,0,11.4,2,0.2,67.64,23,Khulna,PurpleAir,Winter
1/5/2017,206.8,19.6,0,10.3,1.2,20,79.39,15,Sylhet,IQAir,Winter
1/7/2017,227.1,18.9,0,8.1,1.3,28.2,73.95,1,Rajshahi,EPA,Winter
1/8/2017,143.4,20.3,0,11.4,1.8,9.8,65.89,8,Khulna,PurpleAir,Winter
1/10/2017,184,20.1,0,13.9,2.1,29.5,66.2,18,Barishal,PurpleAir,Winter
1/11/2017,176.3,19.7,0,8.5,1.7,6,67.23,13,Chittagong,IQAir,Winter
1/13/2017,120.9,18.1,0,13.9,2.2,0,58.59,11,Khulna,PurpleAir,Winter
1/14/2017,139.4,17.4,0,10.3,2.4,0,51.3,23,Chittagong,PurpleAir,Winter
1/15/2017,177.5,18.1,0,11.4,2,0.1,63.78,7,Sylhet,PurpleAir,Winter
1/17/2017,254.4,18.7,0,10.6,1.7,4.2,63.59,21,Chittagong,EPA,Winter
1/18/2017,289.4,19.5,0,6.9,1.7,8.1,65.25,5,Dhaka,IQAir,Winter
1/20/2017,206.2,20.2,0,9.2,2.2,15.9,61.19,15,Mymensingh,PurpleAir,Winter
1/21/2017,193.9,19.8,0,8.1,2.1,0,62.94,16,Sylhet,EPA,Winter
1/23/2017,213.4,21.1,0,10.3,2.1,0,61.31,2,Sylhet,IQAir,Winter
1/24/2017,159.6,21.1,0,9.2,2,2.1,62.8,6,Sylhet,IQAir,Winter
1/25/2017,247.8,22.1,0,6.9,1.8,0,66.67,7,Chittagong,PurpleAir,Winter
1/27/2017,285.8,22.2,0,8.1,1.8,55.2,65.61,4,Chittagong,PurpleAir,Winter
1/28/2017,192.2,22,0,9.2,1.8,29,67.63,7,Rajshahi,IQAir,Winter
1/30/2017,125.7,20.8,0,9.2,2.2,3.7,62.49,21,Rangpur,EPA,Winter
1/31/2017,177.1,20.5,0,9.2,2,0,64.01,16,Rajshahi,EPA,Winter
2/2/2017,171.5,21,0,13.9,2,0,61.76,17,Rangpur,PurpleAir,Winter
2/3/2017,232.6,19.9,0,9.2,1.8,0.1,71.47,17,Khulna,EPA,Winter
2/4/2017,170.3,21.6,0,8.3,1.8,5.6,67.07,18,Mymensingh,PurpleAir,Winter
2/6/2017,162.5,23.8,0,9.2,2.2,2.2,55.29,7,Rangpur,PurpleAir,Winter
2/7/2017,122.6,23.3,0,10.3,2.4,0.2,58.03,2,Chittagong,IQAir,Winter
2/9/2017,146.8,22.3,0,11.4,2.3,0,55.65,13,Rangpur,IQAir,Winter
2/10/2017,248.2,22.2,0,6.9,2.2,0,58.01,13,Sylhet,IQAir,Winter
2/12/2017,122.9,23.7,0,9.2,2.4,4.7,53.69,7,Khulna,PurpleAir,Winter
2/13/2017,167.9,23.9,0,10.3,2.4,2.4,47.46,5,Chittagong,PurpleAir,Winter
2/14/2017,218,24.1,0,6.9,2.3,5.6,57.33,12,Sylhet,IQAir,Winter
2/16/2017,211.5,23.8,0,10.3,2.2,1.5,57.46,21,Barishal,EPA,Winter
2/17/2017,186.6,23.5,0,6.9,2.3,0,56.75,10,Sylhet,IQAir,Winter
2/19/2017,265.2,24.5,0,7.3,2.2,24.1,60.52,13,Rangpur,IQAir,Winter
2/20/2017,179.8,24.4,0,11.4,1.7,30.7,72.37,1,Rangpur,EPA,Winter
2/22/2017,117.5,26.2,0,13.9,2.4,56.2,66.9,18,Dhaka,PurpleAir,Winter
2/23/2017,62,25.5,5.4,12.8,2.4,56.2,63.48,11,Khulna,EPA,Winter
2/24/2017,32.5,24.1,0,11.4,2.5,0.4,46.72,7,Rajshahi,EPA,Winter
2/26/2017,3.1,23.5,0,11.4,2.5,0,48.62,10,Rangpur,EPA,Winter
2/27/2017,144.8,24.4,0,13.9,2.3,0,50.71,2,Chittagong,IQAir,Winter
3/1/2017,182.3,24.9,0,9.2,2.5,0,46.84,14,Khulna,IQAir,Spring
3/2/2017,169.8,25.6,0,11.4,2.2,0,54.21,1,Dhaka,IQAir,Spring
3/4/2017,83.3,26.2,0,11.4,2.6,47,57.84,14,Rajshahi,PurpleAir,Spring
3/5/2017,53.3,25.7,3.2,11.4,2.5,73.5,71.03,7,Dhaka,EPA,Spring
3/6/2017,69,24.3,17.74,9.2,2.5,57.9,72.06,16,Dhaka,EPA,Spring
3/8/2017,104.8,24.5,24.91,13.9,2.3,56.6,64.69,11,Chittagong,EPA,Spring
3/9/2017,68.6,23.4,0,9.2,2.5,40.4,68.14,13,Rajshahi,PurpleAir,Spring
3/11/2017,47.5,22.4,67.02,11.4,2.3,84.1,83.9,21,Khulna,IQAir,Spring
3/12/2017,88.8,24.8,19.48,11.4,2.4,70,67.05,7,Barishal,EPA,Spring
3/14/2017,81.3,24.3,0,13.9,2.7,0,48.34,22,Dhaka,PurpleAir,Spring
3/15/2017,118.6,24.5,0,11.4,2.7,8.6,47.43,21,Dhaka,EPA,Spring
3/16/2017,140.8,24,0,13.9,2.4,0,51.36,23,Rajshahi,IQAir,Spring
3/18/2017,68,24.1,30,13.9,2.5,60.3,69.65,20,Rajshahi,PurpleAir,Spring
3/19/2017,106.2,24.1,8.4,9.2,2.5,40.3,59.44,11,Barishal,IQAir,Spring
3/21/2017,101,22.6,1.2,11.4,2.5,41.7,64.37,3,Sylhet,EPA,Spring
3/22/2017,109.8,24.6,0,9.2,2.5,31.5,60.59,17,Mymensingh,EPA,Spring
3/24/2017,121.9,27.3,0,10.3,2.6,36.9,63.25,19,Rangpur,PurpleAir,Spring
3/25/2017,55.9,24.5,12.79,9.2,2.4,58,73.52,8,Chittagong,PurpleAir,Spring
3/26/2017,76.3,24.8,0,6.9,2.5,62.3,72.06,23,Rajshahi,PurpleAir,Spring
3/28/2017,55.7,26.8,0,11.4,2.4,65.7,76.96,1,Chittagong,IQAir,Spring
3/29/2017,50.6,26.1,31.49,13.4,2.4,76.3,80.48,22,Chittagong,IQAir,Spring
3/31/2017,45.3,29.3,4.7,17.2,2.6,63.9,70.26,20,Sylhet,IQAir,Spring
4/1/2017,33.9,29.2,18,15,2.7,64.7,69.02,2,Dhaka,PurpleAir,Spring
4/3/2017,40.2,28.7,0,23,2.6,71.2,69.91,10,Chittagong,EPA,Spring
4/4/2017,36,26.4,26.7,13.9,2.6,81.2,71.14,18,Sylhet,PurpleAir,Spring
4/5/2017,44.6,25.1,43.73,17.2,2.6,66,80.71,23,Sylhet,EPA,Spring
4/7/2017,67.6,29,7,11.4,2.4,63.1,72.6,14,Khulna,IQAir,Spring
4/8/2017,61.7,29.6,0,11.4,2.6,51.7,70.35,11,Barishal,PurpleAir,Spring
4/10/2017,67.6,30,0,11.4,2.6,31.1,64.51,19,Rangpur,IQAir,Spring
4/11/2017,74.2,30.4,0,11.4,2.7,22.9,58.65,8,Chittagong,PurpleAir,Spring
