stationID,stationName,stationNo,stationOwner,locID,orgID
EPAbar1,EPA Barishal 1,1,EPA,divbar,org1
EPAbar10,EPA Barishal 10,10,EPA,divbar,org1
EPAbar11,EPA Barishal 11,11,EPA,divbar,org1
EPAbar12,EPA Barishal 12,12,EPA,divbar,org1
EPAbar13,EPA Barishal 13,13,EPA,divbar,org1
EPAbar16,EPA Barishal 16,16,EPA,divbar,org1
EPAbar17,EPA Barishal 17,17,EPA,divbar,org1
EPAbar19,EPA Barishal 19,19,EPA,divbar,org1
EPAbar2,EPA Barishal 2,2,EPA,divbar,org1
EPAbar20,EPA Barishal 20,20,EPA,divbar,org1
EPAbar21,EPA Barishal 21,21,EPA,divbar,org1
EPAbar22,EPA Barishal 22,22,EPA,divbar,org1
EPAbar3,EPA Barishal 3,3,EPA,divbar,org1
EPAbar4,EPA Barishal 4,4,EPA,divbar,org1
EPAbar5,EPA Barishal 5,5,EPA,divbar,org1
EPAbar6,EPA Barishal 6,6,EPA,divbar,org1
EPAbar7,EPA Barishal 7,7,EPA,divbar,org1
EPAbar9,EPA Barishal 9,9,EPA,divbar,org1
EPAbar14,EPA Barishal 14,14,EPA,divbar,org1
EPAbar15,EPA Barishal 15,15,EPA,divbar,org1
EPAbar18,EPA Barishal 18,18,EPA,divbar,org1
EPAbar23,EPA Barishal 23,23,EPA,divbar,org1
EPAbar8,EPA Barishal 8,8,EPA,divbar,org1
EPAchi1,EPA Chittagong 1,1,EPA,divchi,org1
EPAchi10,EPA Chittagong 10,10,EPA,divchi,org1
EPAchi11,EPA Chittagong 11,11,EPA,divchi,org1
EPAchi12,EPA Chittagong 12,12,EPA,divchi,org1
EPAchi13,EPA Chittagong 13,13,EPA,divchi,org1
EPAchi14,EPA Chittagong 14,14,EPA,divchi,org1
EPAchi15,EPA Chittagong 15,15,EPA,divchi,org1
EPAchi16,EPA Chittagong 16,16,EPA,divchi,org1
EPAchi18,EPA Chittagong 18,18,EPA,divchi,org1
EPAchi2,EPA Chittagong 2,2,EPA,divchi,org1
EPAchi20,EPA Chittagong 20,20,EPA,divchi,org1
EPAchi21,EPA Chittagong 21,21,EPA,divchi,org1
EPAchi23,EPA Chittagong 23,23,EPA,divchi,org1
EPAchi3,EPA Chittagong 3,3,EPA,divchi,org1
EPAchi4,EPA Chittagong 4,4,EPA,divchi,org1
EPAchi5,EPA Chittagong 5,5,EPA,divchi,org1
EPAchi7,EPA Chittagong 7,7,EPA,divchi,org1
EPAchi8,EPA Chittagong 8,8,EPA,divchi,org1
EPAchi9,EPA Chittagong 9,9,EPA,divchi,org1
EPAchi19,EPA Chittagong 19,19,EPA,divchi,org1
EPAchi22,EPA Chittagong 22,22,EPA,divchi,org1
EPAchi6,EPA Chittagong 6,6,EPA,divchi,org1
EPAchi17,EPA Chittagong 17,17,EPA,divchi,org1
EPAdha1,EPA Dhaka 1,1,EPA,divdha,org1
EPAdha11,EPA Dhaka 11,11,EPA,divdha,org1
EPAdha12,EPA Dhaka 12,12,EPA,divdha,org1
EPAdha13,EPA Dhaka 13,13,EPA,divdha,org1
EPAdha14,EPA Dhaka 14,14,EPA,divdha,org1
EPAdha16,EPA Dhaka 16,16,EPA,divdha,org1
EPAdha17,EPA Dhaka 17,17,EPA,divdha,org1
EPAdha18,EPA Dhaka 18,18,EPA,divdha,org1
EPAdha19,EPA Dhaka 19,19,EPA,divdha,org1
EPAdha2,EPA Dhaka 2,2,EPA,divdha,org1
EPAdha20,EPA Dhaka 20,20,EPA,divdha,org1
EPAdha21,EPA Dhaka 21,21,EPA,divdha,org1
EPAdha22,EPA Dhaka 22,22,EPA,divdha,org1
EPAdha3,EPA Dhaka 3,3,EPA,divdha,org1
EPAdha4,EPA Dhaka 4,4,EPA,divdha,org1
EPAdha6,EPA Dhaka 6,6,EPA,divdha,org1
EPAdha7,EPA Dhaka 7,7,EPA,divdha,org1
EPAdha8,EPA Dhaka 8,8,EPA,divdha,org1
EPAdha9,EPA Dhaka 9,9,EPA,divdha,org1
EPAdha15,EPA Dhaka 15,15,EPA,divdha,org1
IQAdha18,IQAir Dhaka 18,18,IQAir,divdha,org2
IQAdha2,IQAir Dhaka 2,2,IQAir,divdha,org2
IQAdha20,IQAir Dhaka 20,20,IQAir,divdha,org2
IQAdha21,IQAir Dhaka 21,21,IQAir,divdha,org2
IQAdha22,IQAir Dhaka 22,22,IQAir,divdha,org2
IQAdha23,IQAir Dhaka 23,23,IQAir,divdha,org2
IQAdha3,IQAir Dhaka 3,3,IQAir,divdha,org2
IQAdha4,IQAir Dhaka 4,4,IQAir,divdha,org2
IQAdha5,IQAir Dhaka 5,5,IQAir,divdha,org2
IQAdha7,IQAir Dhaka 7,7,IQAir,divdha,org2
IQAdha8,IQAir Dhaka 8,8,IQAir,divdha,org2
IQAdha1,IQAir Dhaka 1,1,IQAir,divdha,org2
IQAdha10,IQAir Dhaka 10,10,IQAir,divdha,org2
IQAdha12,IQAir Dhaka 12,12,IQAir,divdha,org2
IQAdha13,IQAir Dhaka 13,13,IQAir,divdha,org2
IQAdha14,IQAir Dhaka 14,14,IQAir,divdha,org2
IQAdha15,IQAir Dhaka 15,15,IQAir,divdha,org2
IQAdha19,IQAir Dhaka 19,19,IQAir,divdha,org2
IQAdha6,IQAir Dhaka 6,6,IQAir,divdha,org2
IQAdha9,IQAir Dhaka 9,9,IQAir,divdha,org2
IQAkhu1,IQAir Khulna 1,1,IQAir,divkhu,org2
IQAkhu10,IQAir Khulna 10,10,IQAir,divkhu,org2
IQAkhu11,IQAir Khulna 11,11,IQAir,divkhu,org2
IQAkhu12,IQAir Khulna 12,12,IQAir,divkhu,org2
IQAkhu14,IQAir Khulna 14,14,IQAir,divkhu,org2
IQAkhu15,IQAir Khulna 15,15,IQAir,divkhu,org2
IQAkhu16,IQAir Khulna 16,16,IQAir,divkhu,org2
IQAkhu17,IQAir Khulna 17,17,IQAir,divkhu,org2
IQAkhu18,IQAir Khulna 18,18,IQAir,divkhu,org2
IQAkhu19,IQAir Khulna 19,19,IQAir,divkhu,org2
IQAkhu2,IQAir Khulna 2,2,IQAir,divkhu,org2
IQAkhu20,IQAir Khulna 20,20,IQAir,divkhu,org2
IQAkhu21,IQAir Khulna 21,21,IQAir,divkhu,org2
IQAkhu22,IQAir Khulna 22,22,IQAir,divkhu,org2
IQAkhu23,IQAir Khulna 23,23,IQAir,divkhu,org2
IQAkhu3,IQAir Khulna 3,3,IQAir,divkhu,org2
IQAkhu4,IQAir Khulna 4,4,IQAir,divkhu,org2
IQAkhu5,IQAir Khulna 5,5,IQAir,divkhu,org2
IQAkhu6,IQAir Khulna 6,6,IQAir,divkhu,org2
IQAkhu7,IQAir Khulna 7,7,IQAir,divkhu,org2
IQAkhu9,IQAir Khulna 9,9,IQAir,divkhu,org2
IQAkhu13,IQAir Khulna 13,13,IQAir,divkhu,org2
IQAkhu8,IQAir Khulna 8,8,IQAir,divkhu,org2
IQAmym10,IQAir Mymensingh 10,10,IQAir,divmym,org2
IQAmym11,IQAir Mymensingh 11,11,IQAir,divmym,org2
IQAmym12,IQAir Mymensingh 12,12,IQAir,divmym,org2
IQAmym13,IQAir Mymensingh 13,13,IQAir,divmym,org2
IQAmym14,IQAir Mymensingh 14,14,IQAir,divmym,org2
IQAmym15,IQAir Mymensingh 15,15,IQAir,divmym,org2
IQAmym16,IQAir Mymensingh 16,16,IQAir,divmym,org2
IQAmym17,IQAir Mymensingh 17,17,IQAir,divmym,org2
IQAmym18,IQAir Mymensingh 18,18,IQAir,divmym,org2
IQAmym19,IQAir Mymensingh 19,19,IQAir,divmym,org2
IQAmym20,IQAir Mymensingh 20,20,IQAir,divmym,org2
IQAmym21,IQAir Mymensingh 21,21,IQAir,divmym,org2
IQAmym22,IQAir Mymensingh 22,22,IQAir,divmym,org2
IQAmym23,IQAir Mymensingh 23,23,IQAir,divmym,org2
IQAmym4,IQAir Mymensingh 4,4,IQAir,divmym,org2
IQAmym5,IQAir Mymensingh 5,5,IQAir,divmym,org2
IQAmym6,IQAir Mymensingh 6,6,IQAir,divmym,org2
IQAmym7,IQAir Mymensingh 7,7,IQAir,divmym,org2
IQAmym8,IQAir Mymensingh 8,8,IQAir,divmym,org2
IQAmym1,IQAir Mymensingh 1,1,IQAir,divmym,org2
IQAmym2,IQAir Mymensingh 2,2,IQAir,divmym,org2
IQAmym3,IQAir Mymensingh 3,3,IQAir,divmym,org2
IQAmym9,IQAir Mymensingh 9,9,IQAir,divmym,org2
IQAraj1,IQAir Rajshahi 1,1,IQAir,divraj,org2
IQAraj10,IQAir Rajshahi 10,10,IQAir,divraj,org2
IQAraj11,IQAir Rajshahi 11,11,IQAir,divraj,org2
IQAraj12,IQAir Rajshahi 12,12,IQAir,divraj,org2
IQAraj13,IQAir Rajshahi 13,13,IQAir,divraj,org2
IQAraj15,IQAir Rajshahi 15,15,IQAir,divraj,org2
IQAraj16,IQAir Rajshahi 16,16,IQAir,divraj,org2
Purraj18,PurpleAir Rajshahi 18,18,PurpleAir,divraj,org3
Purraj19,PurpleAir Rajshahi 19,19,PurpleAir,divraj,org3
Purraj2,PurpleAir Rajshahi 2,2,PurpleAir,divraj,org3
Purraj20,PurpleAir Rajshahi 20,20,PurpleAir,divraj,org3
Purraj21,PurpleAir Rajshahi 21,21,PurpleAir,divraj,org3
Purraj22,PurpleAir Rajshahi 22,22,PurpleAir,divraj,org3
Purraj23,PurpleAir Rajshahi 23,23,PurpleAir,divraj,org3
Purraj5,PurpleAir Rajshahi 5,5,PurpleAir,divraj,org3
Purraj6,PurpleAir Rajshahi 6,6,PurpleAir,divraj,org3
Purraj7,PurpleAir Rajshahi 7,7,PurpleAir,divraj,org3
Purraj8,PurpleAir Rajshahi 8,8,PurpleAir,divraj,org3
Purraj1,PurpleAir Rajshahi 1,1,PurpleAir,divraj,org3
Purraj11,PurpleAir Rajshahi 11,11,PurpleAir,divraj,org3
Purraj12,PurpleAir Rajshahi 12,12,PurpleAir,divraj,org3
Purraj15,PurpleAir Rajshahi 15,15,PurpleAir,divraj,org3
Purraj16,PurpleAir Rajshahi 16,16,PurpleAir,divraj,org3
Purraj17,PurpleAir Rajshahi 17,17,PurpleAir,divraj,org3
Purraj3,PurpleAir Rajshahi 3,3,PurpleAir,divraj,org3
Purraj4,PurpleAir Rajshahi 4,4,PurpleAir,divraj,org3
Purraj9,PurpleAir Rajshahi 9,9,PurpleAir,divraj,org3
Purraj10,PurpleAir Rajshahi 10,10,PurpleAir,divraj,org3
Purraj13,PurpleAir Rajshahi 13,13,PurpleAir,divraj,org3
Purraj14,PurpleAir Rajshahi 14,14,PurpleAir,divraj,org3
Purran1,PurpleAir Rangpur 1,1,PurpleAir,divran,org3
Purran10,PurpleAir Rangpur 10,10,PurpleAir,divran,org3
Purran11,PurpleAir Rangpur 11,11,PurpleAir,divran,org3
Purran12,PurpleAir Rangpur 12,12,PurpleAir,divran,org3
Purran13,PurpleAir Rangpur 13,13,PurpleAir,divran,org3
Purran14,PurpleAir Rangpur 14,14,PurpleAir,divran,org3
Purran15,PurpleAir Rangpur 15,15,PurpleAir,divran,org3
Purran17,PurpleAir Rangpur 17,17,PurpleAir,divran,org3
Purran18,PurpleAir Rangpur 18,18,PurpleAir,divran,org3
Purran19,PurpleAir Rangpur 19,19,PurpleAir,divran,org3
Purran20,PurpleAir Rangpur 20,20,PurpleAir,divran,org3
Purran21,PurpleAir Rangpur 21,21,PurpleAir,divran,org3
Purran23,PurpleAir Rangpur 23,23,PurpleAir,divran,org3
Purran3,PurpleAir Rangpur 3,3,PurpleAir,divran,org3
Purran4,PurpleAir Rangpur 4,4,PurpleAir,divran,org3
Purran5,PurpleAir Rangpur 5,5,PurpleAir,divran,org3
Purran7,PurpleAir Rangpur 7,7,PurpleAir,divran,org3
Purran16,PurpleAir Rangpur 16,16,PurpleAir,divran,org3
Purran2,PurpleAir Rangpur 2,2,PurpleAir,divran,org3
Purran8,PurpleAir Rangpur 8,8,PurpleAir,divran,org3
Purran9,PurpleAir Rangpur 9,9,PurpleAir,divran,org3
Purran22,PurpleAir Rangpur 22,22,PurpleAir,divran,org3
Purran6,PurpleAir Rangpur 6,6,PurpleAir,divran,org3
Pursyl1,PurpleAir Sylhet 1,1,PurpleAir,divsyl,org3
Pursyl10,PurpleAir Sylhet 10,10,PurpleAir,divsyl,org3
Pursyl11,PurpleAir Sylhet 11,11,PurpleAir,divsyl,org3
Pursyl13,PurpleAir Sylhet 13,13,PurpleAir,divsyl,org3
Pursyl14,PurpleAir Sylhet 14,14,PurpleAir,divsyl,org3
Pursyl15,PurpleAir Sylhet 15,15,PurpleAir,divsyl,org3
Pursyl16,PurpleAir Sylhet 16,16,PurpleAir,divsyl,org3
Pursyl17,PurpleAir Sylhet 17,17,PurpleAir,divsyl,org3
Pursyl18,PurpleAir Sylhet 18,18,PurpleAir,divsyl,org3
Pursyl19,PurpleAir Sylhet 19,19,PurpleAir,divsyl,org3
Pursyl2,PurpleAir Sylhet 2,2,PurpleAir,divsyl,org3
Pursyl20,PurpleAir Sylhet 20,20,PurpleAir,divsyl,org3
Pursyl21,PurpleAir Sylhet 21,21,PurpleAir,divsyl,org3
Pursyl23,PurpleAir Sylhet 23,23,PurpleAir,divsyl,org3
Pursyl3,PurpleAir Sylhet 3,3,PurpleAir,divsyl,org3
Pursyl5,PurpleAir Sylhet 5,5,PurpleAir,divsyl,org3
Pursyl7,PurpleAir Sylhet 7,7,PurpleAir,divsyl,org3
Pursyl8,PurpleAir Sylhet 8,8,PurpleAir,divsyl,org3
Pursyl12,PurpleAir Sylhet 12,12,PurpleAir,divsyl,org3
Pursyl22,PurpleAir Sylhet 22,22,PurpleAir,divsyl,org3
Pursyl4,PurpleAir Sylhet 4,4,PurpleAir,divsyl,org3
Pursyl6,PurpleAir Sylhet 6,6,PurpleAir,divsyl,org3
Pursyl9,PurpleAir Sylhet 9,9,PurpleAir,divsyl,org3
