WInfoID,daily,season,pm25,rainPrec,cloudCover,WindSpeed,relHumid,visibility,mean,routeID,locID,stationID
1,4/21/2020 21:53,Winter,146.6,,24.3,9.2,67.54,2.2,16.9,,divDha,EPAdha19
2,10/21/2019 12:49,Summer,31.7,41.7,84.5,2.8,85.39,2.3,4.7,,divBar,Purran17
3,4/21/2020 22:53,Spring,64.2,,,11.4,6.63,2.2,9.6,,divMym,IQAkhu16
4,10/21/2019 12:49,Winter,257.4,0.75,4.1,1.3,82.61,1.1,,,divBar,IQAdha21
5,4/21/2020 22:50,Winter,261,,78.4,6.9,71.92,2.3,9.7,,divSyl,IQAkhu3
6,4/21/2020 21:18,Summer,37.1,,53,12.8,68.15,2.6,23.5,,divKhu,EPAchi7
7,10/28/2018 22:16,Autumn,103.7,,27.3,6.9,72.46,2.3,23.8,,divSyl,Pursyl20
8,4/18/2020 9:08,Autumn,30.6,,11.3,11.4,55.67,2.4,13,,divRaj,IQAdha18
9,4/18/2020 10:44,Autumn,168,,28.2,8.1,73.95,1.3,13.2,,divMym,EPAdha3
10,4/18/2020 10:25,Winter,174.7,,3.7,11.4,72.37,1.7,,,divSyl,Purran4
11,10/21/2019 15:06,Winter,135.9,0.6,35.3,9.2,56.56,2.5,6.3,,divSyl,IQAmym16
12,4/18/2020 8:57,Winter,133.5,,63.8,11.4,78.15,2.3,8.4,,divMym,IQAdha8
13,4/18/2020 10:27,Summer,32.8,,59.8,13.9,74.81,2.5,24.8,,divRan,EPAbar8
14,10/21/2019 13:16,Winter,153.1,9.6,64.8,16.1,75.36,2.6,5.6,,divMym,IQAraj1
15,4/18/2020 8:23,Autumn,58.3,,,9.2,52.99,2.3,7.8,,divKhu,EPAchi6
16,4/18/2020 8:30,Winter,159.8,,,9.2,62.35,2.1,4.4,,divKhu,EPAbar15
17,4/21/2020 20:51,Winter,170.8,,24.4,9.2,68.58,2.6,11.8,,divBar,IQAkhu6
18,10/21/2019 12:50,Autumn,163,,57.9,13.9,73.2,2.6,15.1,,divDha,IQAdha20
19,4/21/2020 21:25,Summer,34.1,,2.7,9.2,69.77,2.1,,,divRaj,EPAbar11
20,10/21/2019 14:06,Summer,15.5,,,5.8,68.9,2.1,14,,divSyl,IQAkhu14
21,10/28/2018 22:01,Winter,211.5,,16.9,1.3,6.3,2.3,5.3,,divRan,IQAkhu12
22,4/18/2020 9:45,Summer,17.2,,9.7,9.2,63.62,2.4,8,,divBar,IQAdha8
23,4/18/2020 9:04,Winter,138.8,19.33,83.4,17.2,8.33,2.5,,,divDha,IQAkhu11
24,10/28/2018 21:10,Spring,136.1,,56.5,9.2,57.45,2.4,5.3,,divMym,EPAdha6
25,10/28/2018 21:52,Summer,26.8,,21.7,9.2,67.13,2.5,6.9,,divDha,EPAchi5
26,4/18/2020 9:03,Winter,200.2,83.7,79.2,13.9,79.87,2.5,17.1,,divRan,IQAkhu13
27,10/21/2019 14:38,Spring,65,,16,18.3,64.31,2.5,16.3,,divDha,IQAraj13
28,10/21/2019 13:43,Summer,33.9,9.37,8.8,9.2,88.11,2.4,14.4,,divMym,IQAkhu14
29,4/18/2020 8:16,Summer,26.9,,54.2,9.2,77.6,2.6,1.8,,divKhu,EPAdha22
30,10/28/2018 21:08,Summer,37.7,,36.7,13.9,62.24,2.6,6.6,,divDha,IQAdha2
31,4/18/2020 10:28,Autumn,27.8,2.62,86.8,2.8,77.64,2.5,7.9,,divDha,EPAchi23
32,4/18/2020 10:29,Spring,49,3.24,41.5,11.4,7.47,2.6,8.5,,divMym,IQAkhu18
