Daily,Location,latitude,longitude,median,mean,max,sum,count
2017/01/01,COM ED MAINTENANCE BLDG,41.7514,-87.713488,13.3,12.9625,24,622.2,50
2017/01/01,GRAVES ES,41.782766,-87.805377,14.5,14.5,14.5,29,2
2017/01/01,IEPA TRAILER,41.965193,-87.876265,16.9,16.9,16.9,16.9,1
2017/01/01,LIBERTY SCHOOL,41.864426,-87.748902,12.3,12.34,19.6,617,50
2017/01/01,MAYFAIR PUMP STATION,41.965485,-87.749928,12.9,12.9,12.9,12.9,1
2017/01/01,NORTHBROOK WATER PLANT,42.139996,-87.799227,15.8,15.872,27.4,793.6,50
2017/01/01,REGIONAL OFFICE BUILDING,42.060285,-87.863225,16.7,17.47916667,28.3,419.5,24
2017/01/01,SPRINGFIELD PUMP STATION,41.912739,-87.722673,11.8,12.296,26.7,614.8,50
2017/01/01,VILLAGE GARAGE,41.670992,-87.732457,11.1,11.112,15.7,555.6,50
2017/01/01,VILLAGE HALL,41.80118,-87.832349,13.6,13.6,13.6,27.2,4
2017/01/01,WASHINGTON HS,41.687165,-87.539315,14.15,14.15,14.3,56.6,4
2017/01/02,COM ED MAINTENANCE BLDG,41.7514,-87.713488,17.4,18.81666667,32.1,903.2,48
2017/01/02,LIBERTY SCHOOL,41.864426,-87.748902,20.35,19.0875,26.5,916.2,48
2017/01/02,NORTHBROOK WATER PLANT,42.139996,-87.799227,19.15,18.39583333,25,883,48
2017/01/02,REGIONAL OFFICE BUILDING,42.060285,-87.863225,22.95,22.98333333,32.5,551.6,24
2017/01/02,SPRINGFIELD PUMP STATION,41.912739,-87.722673,17.6,18.15,30.4,871.2,48
2017/01/02,VILLAGE GARAGE,41.670992,-87.732457,16.65,16.08333333,24.9,772,48
2017/01/03,COM ED MAINTENANCE BLDG,41.7514,-87.713488,14.4,14.25833333,19.4,684.4,48
2017/01/03,LIBERTY SCHOOL,41.864426,-87.748902,14.2,15.19583333,22.8,729.4,48
2017/01/03,NORTHBROOK WATER PLANT,42.139996,-87.799227,10.55,11.55416667,26.3,554.6,48
2017/01/03,REGIONAL OFFICE BUILDING,42.060285,-87.863225,14.55,16.34166667,30.8,392.2,24
2017/01/03,SPRINGFIELD PUMP STATION,41.912739,-87.722673,11.25,12.08333333,19.2,580,48
2017/01/03,VILLAGE GARAGE,41.670992,-87.732457,14.5,14.37647059,20.4,488.8,48
2017/01/04,COM ED MAINTENANCE BLDG,41.7514,-87.713488,3.85,4.083333333,6.7,196,50
2017/01/04,GRAVES ES,41.782766,-87.805377,3.8,3.8,3.8,7.6,2
2017/01/04,IEPA TRAILER,41.965193,-87.876265,4.7,4.7,4.7,4.7,1
2017/01/04,LIBERTY SCHOOL,41.864426,-87.748902,4.4,4.866666667,9.7,233.6,48
2017/01/04,MAYFAIR PUMP STATION,41.965485,-87.749928,3.7,3.7,3.7,3.7,1
2017/01/04,NORTHBROOK WATER PLANT,42.139996,-87.799227,3.6,3.547826087,7.8,163.2,50
2017/01/04,REGIONAL OFFICE BUILDING,42.060285,-87.863225,4.5,3.660869565,7.4,84.2,24
2017/01/04,SPRINGFIELD PUMP STATION,41.912739,-87.722673,2.95,3.679166667,14.8,176.6,48
2017/01/04,VILLAGE GARAGE,41.670992,-87.732457,,,,0,48
2017/01/04,VILLAGE HALL,41.80118,-87.832349,3.2,3.2,3.2,6.4,2
2017/01/04,WASHINGTON HS,41.687165,-87.539315,4,4,4,8,2
2017/01/05,COM ED MAINTENANCE BLDG,41.7514,-87.713488,5.6,5.658333333,7.5,271.6,48
2017/01/05,LIBERTY SCHOOL,41.864426,-87.748902,6.4,6.904166667,10.4,331.4,48
2017/01/05,NORTHBROOK WATER PLANT,42.139996,-87.799227,8.2,8.108333333,14.3,389.2,48
2017/01/05,REGIONAL OFFICE BUILDING,42.060285,-87.863225,8.2,7.783333333,14.7,186.8,24
2017/01/05,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.7,9.429166667,16.2,452.6,48
2017/01/05,VILLAGE GARAGE,41.670992,-87.732457,,,,0,48
2017/01/06,COM ED MAINTENANCE BLDG,41.7514,-87.713488,9.75,9.870833333,14.2,473.8,48
2017/01/06,LIBERTY SCHOOL,41.864426,-87.748902,10.8,10.24583333,14.8,491.8,48
2017/01/06,NORTHBROOK WATER PLANT,42.139996,-87.799227,13.05,12.61666667,20.3,605.6,48
2017/01/06,REGIONAL OFFICE BUILDING,42.060285,-87.863225,14.35,13.70416667,22,328.9,24
2017/01/06,SPRINGFIELD PUMP STATION,41.912739,-87.722673,9.75,10.60416667,18,509,48
2017/01/06,VILLAGE GARAGE,41.670992,-87.732457,7.1,7.75,14.8,155,48
2017/01/07,COM ED MAINTENANCE BLDG,41.7514,-87.713488,8.7,8.420833333,16.7,404.2,50
2017/01/07,GRAVES ES,41.782766,-87.805377,8.5,8.5,8.5,17,2
2017/01/07,IEPA TRAILER,41.965193,-87.876265,9.6,9.6,9.6,9.6,1
2017/01/07,LIBERTY SCHOOL,41.864426,-87.748902,7.8,7.8,10.6,124.8,50
2017/01/07,MAYFAIR PUMP STATION,41.965485,-87.749928,7.7,7.7,7.7,7.7,1
2017/01/07,NORTHBROOK WATER PLANT,42.139996,-87.799227,7.5,7.736,15.1,386.8,50
2017/01/07,REGIONAL OFFICE BUILDING,42.060285,-87.863225,7.4,8.483333333,22.8,203.6,24
2017/01/07,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.2,8.424,16.7,421.2,50
2017/01/07,VILLAGE GARAGE,41.670992,-87.732457,4.9,5.32,14.4,266,50
2017/01/07,VILLAGE HALL,41.80118,-87.832349,,,,0,4
2017/01/07,WASHINGTON HS,41.687165,-87.539315,8.8,8.8,9,35.2,4
2017/01/08,COM ED MAINTENANCE BLDG,41.7514,-87.713488,5.4,5.425,12.2,260.4,48
2017/01/08,LIBERTY SCHOOL,41.864426,-87.748902,,,,0,48
2017/01/08,NORTHBROOK WATER PLANT,42.139996,-87.799227,5.75,6.616666667,12.8,317.6,48
2017/01/08,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.05,6.170833333,16.5,148.1,24
2017/01/08,SPRINGFIELD PUMP STATION,41.912739,-87.722673,5.65,6.4375,13.3,309,48
2017/01/08,VILLAGE GARAGE,41.670992,-87.732457,4.95,4.920833333,7.5,236.2,48
2017/01/09,COM ED MAINTENANCE BLDG,41.7514,-87.713488,11.55,10.87916667,16.7,522.2,48
2017/01/09,LIBERTY SCHOOL,41.864426,-87.748902,13,13.67692308,22.1,355.6,48
2017/01/09,NORTHBROOK WATER PLANT,42.139996,-87.799227,14.85,14.65833333,21.2,703.6,48
2017/01/09,REGIONAL OFFICE BUILDING,42.060285,-87.863225,14.75,15.375,27.9,369,24
2017/01/09,SPRINGFIELD PUMP STATION,41.912739,-87.722673,13.95,15.22916667,38.8,731,48
2017/01/09,VILLAGE GARAGE,41.670992,-87.732457,9.15,9.525,13.3,457.2,48
2017/01/10,COM ED MAINTENANCE BLDG,41.7514,-87.713488,7.6,8.377272727,15.5,368.6,48
2017/01/10,GRAVES ES,41.782766,-87.805377,6.1,6.1,6.1,12.2,2
2017/01/10,IEPA TRAILER,41.965193,-87.876265,,,,0,1
2017/01/10,LIBERTY SCHOOL,41.864426,-87.748902,10.75,11.3,20.4,542.4,48
2017/01/10,MAYFAIR PUMP STATION,41.965485,-87.749928,7.2,7.2,7.2,7.2,1
2017/01/10,NORTHBROOK WATER PLANT,42.139996,-87.799227,9.05,10.28333333,31.8,493.6,50
2017/01/10,REGIONAL OFFICE BUILDING,42.060285,-87.863225,9.9,12.51666667,28,300.4,24
2017/01/10,SPRINGFIELD PUMP STATION,41.912739,-87.722673,9.15,10.06666667,17.4,483.2,48
2017/01/10,VILLAGE GARAGE,41.670992,-87.732457,7.75,9.216666667,25.6,442.4,48
2017/01/10,VILLAGE HALL,41.80118,-87.832349,,,,0,2
2017/01/10,WASHINGTON HS,41.687165,-87.539315,6.7,6.7,6.7,13.4,2
2017/01/11,COM ED MAINTENANCE BLDG,41.7514,-87.713488,10.6,11.208,18.2,560.4,50
2017/01/11,LIBERTY SCHOOL,41.864426,-87.748902,15.35,14.80833333,20.9,710.8,48
2017/01/11,NORTHBROOK WATER PLANT,42.139996,-87.799227,14,13.50416667,21.3,648.2,48
2017/01/11,REGIONAL OFFICE BUILDING,42.060285,-87.863225,17.55,17.54583333,25,421.1,24
2017/01/11,SPRINGFIELD PUMP STATION,41.912739,-87.722673,14.15,13.97916667,20.9,671,48
2017/01/11,VILLAGE GARAGE,41.670992,-87.732457,9.15,9.3375,18.9,448.2,48
2017/01/12,COM ED MAINTENANCE BLDG,41.7514,-87.713488,8.6,9.8125,16.4,471,48
2017/01/12,LIBERTY SCHOOL,41.864426,-87.748902,10.2,9.845833333,14.1,472.6,48
2017/01/12,NORTHBROOK WATER PLANT,42.139996,-87.799227,8.1,8.358333333,13.5,401.2,48
2017/01/12,REGIONAL OFFICE BUILDING,42.060285,-87.863225,7,7.142857143,13.4,150,24
2017/01/12,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.65,8.495833333,20.1,407.8,48
