Daily,Location,lat,lon,median,mean,max,sum,count
10/5/2017,Ukrainian Village,41.892265,-87.685569,3.02,2.867142857,5.05,20.07,7
10/5/2017,Ukrainian Village B,41.892265,-87.685569,2.76,2.981428571,4.99,20.87,7
10/6/2017,Ukrainian Village,41.892265,-87.685569,11.355,16.71083333,46.9,802.12,48
10/6/2017,Ukrainian Village B,41.892265,-87.685569,11.105,16.30770833,45.34,782.77,48
10/7/2017,Ukrainian Village,41.892265,-87.685569,15.105,19.76416667,46.35,948.68,48
10/7/2017,Ukrainian Village B,41.892265,-87.685569,15.075,19.74416667,47.36,947.72,48
10/8/2017,Ukrainian Village,41.892265,-87.685569,4.145,4.639166667,11.84,222.68,48
10/8/2017,Ukrainian Village B,41.892265,-87.685569,4.15,4.647291667,11.86,223.07,48
10/9/2017,Ukrainian Village,41.892265,-87.685569,13.885,16.35375,42.92,784.98,48
10/9/2017,Ukrainian Village B,41.892265,-87.685569,13.48,16.22208333,43.41,778.66,48
10/10/2017,Ukrainian Village,41.892265,-87.685569,5.2,6.977083333,28.62,334.9,48
10/10/2017,Ukrainian Village B,41.892265,-87.685569,5.26,7.097916667,28.72,340.7,48
10/11/2017,Ukrainian Village,41.892265,-87.685569,3.165,4.76875,12.71,228.9,48
10/11/2017,Ukrainian Village B,41.892265,-87.685569,3.285,4.92875,12.99,236.58,48
10/12/2017,Ukrainian Village,41.892265,-87.685569,8.38,12.78125,33.08,613.5,48
10/12/2017,Ukrainian Village B,41.892265,-87.685569,8.53,12.94020833,33.32,621.13,48
10/13/2017,Ukrainian Village,41.892265,-87.685569,19.505,20.780625,34.73,997.47,48
10/13/2017,Ukrainian Village B,41.892265,-87.685569,19.08,20.52583333,35.47,985.24,48
10/14/2017,Ukrainian Village,41.892265,-87.685569,29.48,31.28520833,60.52,1501.69,48
10/14/2017,Ukrainian Village B,41.892265,-87.685569,28.84,31.1975,62.13,1497.48,48
10/15/2017,Ukrainian Village,41.892265,-87.685569,1.245,3.731458333,53.87,179.11,48
10/15/2017,Ukrainian Village B,41.892265,-87.685569,1.175,3.742291667,54.84,179.63,48
10/16/2017,Ukrainian Village,41.892265,-87.685569,4.415,5.0325,17.73,241.56,48
10/16/2017,Ukrainian Village B,41.892265,-87.685569,4.465,5.218333333,18.62,250.48,48
10/17/2017,Ukrainian Village,41.892265,-87.685569,6.625,7.143333333,15.39,342.88,48
10/17/2017,Ukrainian Village B,41.892265,-87.685569,6.805,7.332916667,16.22,351.98,48
10/18/2017,Ukrainian Village,41.892265,-87.685569,6.375,6.694166667,13.06,321.32,48
10/18/2017,Ukrainian Village B,41.892265,-87.685569,6.73,6.907083333,13.67,331.54,48
10/19/2017,Ukrainian Village,41.892265,-87.685569,9.195,7.781041667,24.46,373.49,48
10/19/2017,Ukrainian Village B,41.892265,-87.685569,9.525,7.939166667,25.33,381.08,48
10/20/2017,Ukrainian Village,41.892265,-87.685569,18.54,20.73270833,58.38,995.17,48
10/20/2017,Ukrainian Village B,41.892265,-87.685569,18.765,21.13333333,60.65,1014.4,48
10/21/2017,Ukrainian Village,41.892265,-87.685569,14.165,17.72583333,60.32,850.84,48
10/21/2017,Ukrainian Village B,41.892265,-87.685569,14.655,18.16520833,62.53,871.93,48
